title,rating,ranking
Lupin III: Part 5,8.16,354
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.16,355
Nodame Cantabile: Paris-hen,8.16,356
Quanzhi Gaoshou Zhi Dianfeng Rongyao,8.16,357
Seirei no Moribito,8.16,358
Tanoshii Muumin Ikka,8.16,359
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,360
Toki wo Kakeru Shoujo,8.16,361
Toradora!,8.16,362
Boku no Hero Academia 3rd Season,8.15,363
Cardcaptor Sakura,8.15,364
Dragon Ball Z,8.15,365
Eizouken ni wa Te wo Dasu na!,8.15,366
Ginga Eiyuu Densetsu Gaiden,8.15,367
Given Movie,8.15,368
IDOLiSH7: Second Beat!,8.15,369
Lupin III: Cagliostro no Shiro,8.15,370
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.14,371
Douluo Dalu: Shan Yu Yu Lai,8.14,372
Durarara!!,8.14,373
Fullmetal Alchemist,8.14,374
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.14,375
Initial D Fourth Stage,8.14,376
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.14,377
Kono Subarashii Sekai ni Shukufuku wo!,8.14,378
Made in Abyss Movie 1: Tabidachi no Yoake,8.14,379
No Game No Life,8.14,380
One Piece Film: Strong World,8.14,381
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.14,382
Sakura-sou no Pet na Kanojo,8.14,383
Shokugeki no Souma: Ni no Sara,8.14,384
Tonikaku Kawaii: SNS,8.14,385
Princess Tutu,8.13,386
Tsuki ga Kirei,8.13,387
Baccano! Specials,8.13,388
Detective Conan Movie 14: The Lost Ship in the Sky,8.13,389
Gin no Saji 2nd Season,8.28,242
Gintama: Shinyaku Benizakura-hen,8.28,243
Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,244
Hajime no Ippo: Champion Road,8.28,245
Stand By Me Doraemon 2,8.28,246
Tenkuu no Shiro Laputa,8.28,247
Tonari no Totoro,8.28,248
Yoru Ni Kakeru,8.28,249
Quanzhi Gaoshou Specials,8.27,250
Detroit Metal City,8.13,390
Fate/Grand Carnival,8.13,391
Initial D Second Stage,8.13,392
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.13,393
Mahoutsukai no Yome: Hoshi Matsu Hito,8.13,394
Mobile Suit Gundam 00,8.13,395
Mobile Suit Gundam Unicorn,8.13,396
Detective Conan Movie 05: Countdown to Heaven,8.12,397
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.12,398
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.12,399
Haikyuu!! Movie 4: Concept no Tatakai,8.12,400
Fullmetal Alchemist: Brotherhood,9.16,1
Shingeki no Kyojin Season 3 Part 2,9.10,2
Steins;Gate,9.10,3
Gintama°,9.09,4
Fruits Basket: The Final,9.08,5
Gintama',9.06,6
Hunter x Hunter (2011),9.06,7
Ginga Eiyuu Densetsu,9.05,8
Gintama': Enchousen,9.04,9
3-gatsu no Lion 2nd Season,8.98,10
Gintama.,8.98,11
Koe no Katachi,8.97,12
Clannad: After Story,8.95,13
Gintama,8.95,14
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,15
Gintama: The Final,8.94,16
Shingeki no Kyojin: The Final Season,8.93,17
Owarimonogatari 2nd Season,8.91,18
Code Geass: Hangyaku no Lelouch R2,8.91,19
Kimi no Na wa.,8.90,20
Shiguang Dailiren,8.89,21
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,22
Violet Evergarden Movie,8.87,23
Gintama.: Shirogane no Tamashii-hen,8.82,24
Mob Psycho 100 II,8.82,25
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.81,26
Kizumonogatari III: Reiketsu-hen,8.81,27
Monster,8.80,28
Odd Taxi,8.80,29
Sen to Chihiro no Kamikakushi,8.80,30
Monogatari Series: Second Season,8.78,31
Cowboy Bebop,8.77,32
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.76,33
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.76,34
Mushishi Zoku Shou 2nd Season,8.75,35
Evangelion: 3.0+1.0 Thrice Upon a Time,8.74,36
Hajime no Ippo,8.74,37
Jujutsu Kaisen (TV),8.74,38
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.73,39
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,40
Vinland Saga,8.72,41
Mushishi Zoku Shou,8.71,42
Code Geass: Hangyaku no Lelouch,8.71,43
