image,misc,ranking,rating,season,title
,";
    ;Add to My List;Add to Favorites;Movie;TV Tokyo;Warner Bros. Japan;Eleven Arts;Bandai Namco Pictures;Action;Sci-Fi;Comedy;Historical;Parody;Drama;Samurai;Shounen;Official Site;AnimeDB;Wikipedia",#16,8.94,,Gintama: The Final
,";
    ;Add to My List;Add to Favorites;Movie;Aniplex;Notes;Kadokawa;Aniplex of America;ufotable;Action;Supernatural;Magic;Fantasy;Official Site;AnimeDB;AnimeNewsNetwork",#33,8.76,,Fate/stay night Movie: Heaven's Feel - III. Spring Song
,";
    ;Add to My List;Add to Favorites;Movie;TV Tokyo;Aniplex;Dentsu;Bandai;Warner Bros. Japan;Shueisha;add some;Sunrise;Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen;Official Site;AnimeDB;AnimeNewsNetwork",#15,8.94,,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
,";
    ;Add to My List;Add to Favorites;TV;Winter 2021;Production I.G;Dentsu;Mainichi Broadcasting System;Pony Canyon;Kodansha;Techno Sound;Pony Canyon Enterprise;Funimation;MAPPA;Action;Military;Mystery;Super Power;Drama;Fantasy;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#17,8.93,Winter 2021,Shingeki no Kyojin: The Final Season
,";
    ;Add to My List;Add to Favorites;TV;Fall 2014;Aniplex;Kodansha;Delfi Sound;Aniplex of America;Artland;Adventure;Fantasy;Historical;Mystery;Seinen;Slice of Life;Supernatural;Official Site;AnimeDB",#35,8.75,Fall 2014,Mushishi Zoku Shou 2nd Season
,";
    ;Add to My List;Add to Favorites;TV;Fall 2000;VAP;Discotek Media;Geneon Entertainment USA;Madhouse;Comedy;Sports;Drama;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#36,8.74,Fall 2000,Hajime no Ippo
,";
    ;Add to My List;Add to Favorites;TV;Fall 2008;Pony Canyon;TBS;Rakuonsha;Animation Do;Sentai Filmworks;Kyoto Animation;Slice of Life;Comedy;Supernatural;Drama;Romance;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#13,8.95,Fall 2008,Clannad: After Story
,";
    ;Add to My List;Add to Favorites;TV;Winter 2017;TV Tokyo;Aniplex;Dentsu;Shueisha;add some;Bandai Namco Pictures;Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#11,8.98,Winter 2017,Gintama.
,";
    ;Add to My List;Add to Favorites;Movie;Shochiku;Pony Canyon;Kodansha;ABC Animation;Quaras;Eleven Arts;NYAV Post;Kyoto Animation;Drama;School;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#12,8.97,,Koe no Katachi
,";
    ;Add to My List;Add to Favorites;OVA;TV Tokyo;Kitty Films;Tokuma Shoten;Tokuma Japan Communications;Sentai Filmworks;K-Factory;Kitty Film Mitaka Studio;Military;Sci-Fi;Space;Drama;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#8,9.05,,Ginga Eiyuu Densetsu
,";
    ;Add to My List;Add to Favorites;TV;Fall 2012;TV Tokyo;Aniplex;Dentsu;Shueisha;Miracle Bus;add some;Sunrise;Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#9,9.04,Fall 2012,Gintama': Enchousen
,";
    ;Add to My List;Add to Favorites;TV;Spring 2011;TV Tokyo;Aniplex;Dentsu;Trinity Sound;Miracle Robo;Studio Jack;Shueisha;add some;Sunrise;Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#6,9.06,Spring 2011,Gintama'
,";
    ;Add to My List;Add to Favorites;TV;Spring 2015;TV Tokyo;Aniplex;Dentsu;Funimation;Crunchyroll;Bandai Namco Pictures;Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#4,9.09,Spring 2015,Gintama°
,";
    ;Add to My List;Add to Favorites;TV;Spring 2006;TV Tokyo;Aniplex;Dentsu;Trinity Sound;Audio Highs;Miracle Robo;Shueisha;Sentai Filmworks;Crunchyroll;Sunrise;Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#14,8.95,Spring 2006,Gintama
,";
    ;Add to My List;Add to Favorites;TV;Fall 2011;VAP;Nippon Television Network;Shueisha;VIZ Media;Madhouse;Action;Adventure;Fantasy;Shounen;Super Power;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#7,9.06,Fall 2011,Hunter x Hunter (2011)
,";
    ;Add to My List;Add to Favorites;TV;Fall 2017;Aniplex;Dentsu;NHK;Hakusensha;Asmik Ace;Toy's Factory;Aniplex of America;Shaft;Drama;Game;Seinen;Slice of Life;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#10,8.98,Fall 2017,3-gatsu no Lion 2nd Season
,";
    ;Add to My List;Add to Favorites;TV;Spring 2011;Frontier Works;Media Factory;Movic;AT-X;Kadokawa Pictures Japan;Nitroplus;Funimation;White Fox;Sci-Fi;Psychological;Drama;Thriller;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#3,9.10,Spring 2011,Steins;Gate
,";
    ;Add to My List;Add to Favorites;TV;Spring 2019;Production I.G;Dentsu;Mainichi Broadcasting System;Pony Canyon;Kodansha;Techno Sound;Pony Canyon Enterprise;Funimation;Wit Studio;Action;Drama;Fantasy;Military;Mystery;Shounen;Super Power;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#2,9.10,Spring 2019,Shingeki no Kyojin Season 3 Part 2
,";
    ;Add to My List;Add to Favorites;TV;Spring 2021;TV Tokyo;TV Osaka;Nihon Ad Systems;Hakusensha;Avex Pictures;TMS Music;Funimation;TMS Entertainment;Slice of Life;Comedy;Supernatural;Drama;Romance;Shoujo;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#5,9.08,Spring 2021,Fruits Basket: The Final
