ranking,rating,title
#21,8.89,Shiguang Dailiren
#29,8.80,Odd Taxi
#28,8.80,Monster
#24,8.82,Gintama.: Shirogane no Tamashii-hen
#20,8.90,Kimi no Na wa.
#22,8.88,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
#26,8.81,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
#25,8.82,Mob Psycho 100 II
#14,8.95,Gintama
#23,8.87,Violet Evergarden Movie
#19,8.91,Code Geass: Hangyaku no Lelouch R2
#17,8.93,Shingeki no Kyojin: The Final Season
#18,8.91,Owarimonogatari 2nd Season
#15,8.94,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
#10,8.98,3-gatsu no Lion 2nd Season
#16,8.94,Gintama: The Final
#11,8.98,Gintama.
#13,8.95,Clannad: After Story
#12,8.97,Koe no Katachi
