image,image_urls,images,misc,ranking,rating,season,title
,"https://cdn.myanimelist.net/images/userimages/285183.jpg?t=1630605000,https://cdn.myanimelist.net/images/userimages/4489477.jpg?t=1630022400,https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400,https://cdn.myanimelist.net/images/userimages/3971701.jpg?t=1630641000","[{'url': 'https://cdn.myanimelist.net/images/userimages/285183.jpg?t=1630605000', 'path': 'full/cf89b335c3b00a9634238c0af096239cb1c93dae.jpg', 'checksum': '15e4793cea40faa549ca593b9af8c94b', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/4489477.jpg?t=1630022400', 'path': 'full/db2bcc44744c2f156d0a73d2c45dd5a62dc79cc6.jpg', 'checksum': 'b0c8d3b7db72aef56823e2526860a05b', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400', 'path': 'full/5784f7b43815276a28999fc1fb60b47287c70938.jpg', 'checksum': '1a9d9c216d64b3637310900583e6919e', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/3971701.jpg?t=1630641000', 'path': 'full/c72ddd4da276faacbf9321cc1737ff5d839bad41.jpg', 'checksum': 'f856dc25aa13ab3c0206ffcb3e5457ef', 'status': 'downloaded'}]",Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen,#1,9.16,Spring 2009,Fullmetal Alchemist: Brotherhood
,"https://cdn.myanimelist.net/images/userimages/611391.jpg?t=1630606800,https://cdn.myanimelist.net/images/userimages/5209507.jpg?t=1481291400,https://cdn.myanimelist.net/images/userimages/4319803.jpg?t=1630614000,https://cdn.myanimelist.net/images/userimages/4296397.jpg?t=1571998200","[{'url': 'https://cdn.myanimelist.net/images/userimages/611391.jpg?t=1630606800', 'path': 'full/c002f618a6cc551c68ea7a17423c268296c0ea4d.jpg', 'checksum': 'fe0f034b91c65a72b50bb69cf193c1fc', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/5209507.jpg?t=1481291400', 'path': 'full/f55b4e4e1f01b48750b75e7ae520960d4eac8a6d.jpg', 'checksum': 'd24642a6f6c9f51089662a894e5a83ed', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/4319803.jpg?t=1630614000', 'path': 'full/5a5c833e47dfba5d61e11afacf9d3ae59ad92447.jpg', 'checksum': 'd6be88211ea63c5e305938e5bdc3a9ca', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/4296397.jpg?t=1571998200', 'path': 'full/450ae3f5e9af556698886927fda538266e81b6c7.jpg', 'checksum': 'd17855a31adf11d32c0ed9441812ff85', 'status': 'downloaded'}]",Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#4,9.09,Spring 2015,Gintama°
,"https://cdn.myanimelist.net/images/userimages/293368.jpg?t=1629517800,https://cdn.myanimelist.net/images/userimages/207137.jpg?t=1614065400,https://cdn.myanimelist.net/images/userimages/4481944.jpg?t=1451067600,https://cdn.myanimelist.net/images/userimages/1343003.jpg?t=1630359600","[{'url': 'https://cdn.myanimelist.net/images/userimages/293368.jpg?t=1629517800', 'path': 'full/e2573240bb5acd8197db50a92fd0ce47e80b3ba7.jpg', 'checksum': '19ae59750f32c5d918e39d18d4a8bbf1', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/207137.jpg?t=1614065400', 'path': 'full/76b600d11cad2a44bb723a792b9374369ccdd569.jpg', 'checksum': '1324a544d30324717496c29a35a1a278', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/4481944.jpg?t=1451067600', 'path': 'full/aa9409e7059806bce274d51828159a72843e8feb.jpg', 'checksum': '9cadcb0bde9ee28c83209ca22d2a1312', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/1343003.jpg?t=1630359600', 'path': 'full/5a170b97d665a4da9327f3d549d72ffeb20079f9.jpg', 'checksum': '150cd421486af8b638d78c5fe40d5668', 'status': 'downloaded'}]",Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#6,9.06,Spring 2011,Gintama'
,"https://cdn.myanimelist.net/images/userimages/7822234.jpg?t=1630612800,https://cdn.myanimelist.net/images/userimages/7176715.jpg?t=1630619400,https://cdn.myanimelist.net/images/userimages/7580912.jpg?t=1630640400,https://cdn.myanimelist.net/images/userimages/6448140.jpg?t=1630607400","[{'url': 'https://cdn.myanimelist.net/images/userimages/7822234.jpg?t=1630612800', 'path': 'full/7ddeaae7af17e6e452cc9e60302cd8c387e2df77.jpg', 'checksum': 'c08ce4a17a6dc533fc80ac9ffcb064f7', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/7176715.jpg?t=1630619400', 'path': 'full/2f33e03541457e28bf36054a61ba2141037340d1.jpg', 'checksum': '0921ace367a594ae6d842cd872fb3642', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/7580912.jpg?t=1630640400', 'path': 'full/2fbf6e6073bed1e2ed5391cef0aff04a5f659a74.jpg', 'checksum': 'cdc372f01a5cfb4efc3f5b7b39074a96', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/6448140.jpg?t=1630607400', 'path': 'full/be7671e9a24b6538095d680f23a4f84aa4c575c4.jpg', 'checksum': 'afd37d28ff1526feea2a9de241fa3329', 'status': 'downloaded'}]",Slice of Life;Comedy;Supernatural;Drama;Romance;Shoujo,#5,9.08,Spring 2021,Fruits Basket: The Final
,"https://cdn.myanimelist.net/images/userimages/8553454.jpg?t=1630612200,https://cdn.myanimelist.net/images/userimages/8707.jpg?t=1630200000,https://cdn.myanimelist.net/images/userimages/9667814.jpg?t=1630636800,https://cdn.myanimelist.net/images/questionmark_50.gif","[{'url': 'https://cdn.myanimelist.net/images/userimages/8553454.jpg?t=1630612200', 'path': 'full/57706b4e9ef03fe261d4605b32f90c6217b8ecb0.jpg', 'checksum': 'e00cd83a7387e12809d5f8331fb2de4b', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/8707.jpg?t=1630200000', 'path': 'full/c0c425728f7556161d7dfa32e8a94cc5e764d447.jpg', 'checksum': '3a5f66ad666e329c517780ff8a87921d', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/9667814.jpg?t=1630636800', 'path': 'full/2184cca4d3f93868a414a94d766b6fc9eae5b5f6.jpg', 'checksum': '8427c1567ac141650189b623eedbe9a7', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/questionmark_50.gif', 'path': 'full/d86a66eb7ea7f40483a2b27e71f47f19a27b5111.jpg', 'checksum': 'aae1bc121dbd60ed9ba1d0bfdaf10f98', 'status': 'downloaded'}]",Action;Sci-Fi;Comedy;Historical;Parody;Drama;Samurai;Shounen,#16,8.94,,Gintama: The Final
,"https://cdn.myanimelist.net/images/userimages/3174805.jpg?t=1458557400,https://cdn.myanimelist.net/images/userimages/2260885.jpg?t=1630609800,https://cdn.myanimelist.net/images/userimages/4188263.jpg?t=1543104600,https://cdn.myanimelist.net/images/userimages/2289125.jpg?t=1598997000","[{'url': 'https://cdn.myanimelist.net/images/userimages/3174805.jpg?t=1458557400', 'path': 'full/69dfef24797f53b0e2ed2ff1a66bc5d885360c07.jpg', 'checksum': 'ddf37a96ab04da544a0fa3a9cac46435', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/2260885.jpg?t=1630609800', 'path': 'full/f5c8d1e9de62642ac940e0985a8c65ba474cb0de.jpg', 'checksum': '2fe61cb1d3df399d76005a698e238165', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/4188263.jpg?t=1543104600', 'path': 'full/f279103114b50280f61084762f242171a74f3134.jpg', 'checksum': '84264f070fe563673c21bf9d5d629347', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/2289125.jpg?t=1598997000', 'path': 'full/600cdbe7f698b1436c46d939b727a1c3bc09f803.jpg', 'checksum': '5a875ff5de09deaf8940c089273853de', 'status': 'downloaded'}]",Action;Adventure;Fantasy;Shounen;Super Power,#7,9.06,Fall 2011,Hunter x Hunter (2011)
,"https://cdn.myanimelist.net/images/userimages/207137.jpg?t=1614065400,https://cdn.myanimelist.net/images/userimages/5704581.jpg?t=1630270200,https://cdn.myanimelist.net/images/questionmark_50.gif,https://cdn.myanimelist.net/images/userimages/324141.jpg?t=1630554600","[{'url': 'https://cdn.myanimelist.net/images/userimages/207137.jpg?t=1614065400', 'path': 'full/76b600d11cad2a44bb723a792b9374369ccdd569.jpg', 'checksum': '1324a544d30324717496c29a35a1a278', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/5704581.jpg?t=1630270200', 'path': 'full/619d7caf69413ce6c2a88c5c4ebdd15d0e7aabb8.jpg', 'checksum': 'cc1be51c0d9be58e001377c811435abf', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/questionmark_50.gif', 'path': 'full/d86a66eb7ea7f40483a2b27e71f47f19a27b5111.jpg', 'checksum': 'aae1bc121dbd60ed9ba1d0bfdaf10f98', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/324141.jpg?t=1630554600', 'path': 'full/aa7d569e79df24834ff3b8dbaa42997ad268ac43.jpg', 'checksum': 'f4fafd0999efc0a054ceb9a7e0370c1b', 'status': 'downloaded'}]",Drama;School;Shounen,#12,8.97,,Koe no Katachi
,"https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400,https://cdn.myanimelist.net/images/userimages/3704997.jpg?t=1613242800,https://cdn.myanimelist.net/images/userimages/2432847.jpg?t=1629721200,https://cdn.myanimelist.net/images/userimages/1799867.jpg?t=1621692000","[{'url': 'https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400', 'path': 'full/5784f7b43815276a28999fc1fb60b47287c70938.jpg', 'checksum': '1a9d9c216d64b3637310900583e6919e', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/3704997.jpg?t=1613242800', 'path': 'full/738fb068666084050ba289d3b8e7e04af1d7d7cd.jpg', 'checksum': '94b6b161b020799aab523f9ed08b0cfc', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/2432847.jpg?t=1629721200', 'path': 'full/d858cefac0092272253a337d65657648a127fe35.jpg', 'checksum': '39f7c57fe815d2dae1ede84f3ebea72b', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/1799867.jpg?t=1621692000', 'path': 'full/36b1b4263ff482b7f6226f4534cec946b6cb0584.jpg', 'checksum': '5c305197a5f634008ae5474f1f579638', 'status': 'downloaded'}]",Sci-Fi;Psychological;Drama;Thriller,#3,9.10,Spring 2011,Steins;Gate
,"https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400,https://cdn.myanimelist.net/images/userimages/1477665.jpg?t=1628974200,https://cdn.myanimelist.net/images/userimages/150305.jpg?t=1630642200,https://cdn.myanimelist.net/images/userimages/80866.jpg?t=1630638000","[{'url': 'https://cdn.myanimelist.net/images/userimages/19870.jpg?t=1628942400', 'path': 'full/5784f7b43815276a28999fc1fb60b47287c70938.jpg', 'checksum': '1a9d9c216d64b3637310900583e6919e', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/1477665.jpg?t=1628974200', 'path': 'full/399c2b1ea4c83ea0e6326b7d4c16dd39bea506af.jpg', 'checksum': 'b1e16d4130d34d835dbbc9de9dd29686', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/150305.jpg?t=1630642200', 'path': 'full/1549883dc4b5d4ea9d1d219ec43913d4d3673cf4.jpg', 'checksum': 'a653cc420000017d5a82b4182aaaa5ae', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/80866.jpg?t=1630638000', 'path': 'full/9b0ef4c26be7631239c9318f398969e61315ec65.jpg', 'checksum': '29cec9eb9ba4cbba5457440ae5e49629', 'status': 'downloaded'}]",Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#14,8.95,Spring 2006,Gintama
,"https://cdn.myanimelist.net/images/userimages/7369376.jpg?t=1628534400,https://cdn.myanimelist.net/images/userimages/3743707.jpg?t=1609012200,https://cdn.myanimelist.net/images/userimages/3213795.jpg?t=1630567200,https://cdn.myanimelist.net/images/userimages/3813391.jpg?t=1630587000","[{'url': 'https://cdn.myanimelist.net/images/userimages/7369376.jpg?t=1628534400', 'path': 'full/5f124e434102968ead882b0eab24a45e875a6fa3.jpg', 'checksum': '09b9c916df6a68eb4898d7928c634474', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/3743707.jpg?t=1609012200', 'path': 'full/382f97fa550eb75533800044c60f498af61bdccf.jpg', 'checksum': '6c6ba6b02dc8879a150e9359515974ff', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/3213795.jpg?t=1630567200', 'path': 'full/aa17ab70109a9ed0c926d00b802a6471e6a4090f.jpg', 'checksum': '163dcf415ece2da8ed47d8eb215817c7', 'status': 'downloaded'}, {'url': 'https://cdn.myanimelist.net/images/userimages/3813391.jpg?t=1630587000', 'path': 'full/c48ca3a8b9738fe9437eba2a36aa206ecf742f08.jpg', 'checksum': '56dc8a8f1d5594fd2435472fdf099d2b', 'status': 'downloaded'}]",Action;Drama;Fantasy;Military;Mystery;Shounen;Super Power,#2,9.10,Spring 2019,Shingeki no Kyojin Season 3 Part 2
